id	country_name	country_code	created_at	updated_at
1	Andorra	and	2020-04-17 17:52:56	2020-04-17 17:52:56
2	Afghanistan	afg	2020-04-17 17:52:56	2020-04-17 17:52:56
3	Antigua and Barbuda	atg	2020-04-17 17:52:56	2020-04-17 17:52:56
4	Anguilla	aia	2020-04-17 17:52:56	2020-04-17 17:52:56
5	Albania	alb	2020-04-17 17:52:56	2020-04-17 17:52:56
6	Armenia	arm	2020-04-17 17:52:56	2020-04-17 17:52:56
7	Angola	ago	2020-04-17 17:52:56	2020-04-17 17:52:56
8	Antarctica	ata	2020-04-17 17:52:56	2020-04-17 17:52:56
9	Argentina	arg	2020-04-17 17:52:56	2020-04-17 17:52:56
10	American Samoa	asm	2020-04-17 17:52:56	2020-04-17 17:52:56
11	Australia	aus	2020-04-17 17:52:56	2020-04-17 17:52:56
12	Aruba	abw	2020-04-17 17:52:56	2020-04-17 17:52:56
13	Åland Islands	ala	2020-04-17 17:52:56	2020-04-17 17:52:56
14	Azerbaijan	aze	2020-04-17 17:52:56	2020-04-17 17:52:56
15	Austria	aut	2020-04-17 17:52:56	2020-04-17 17:52:56
16	Algeria	dza	2020-04-17 17:52:56	2020-04-17 17:52:56
17	Bahamas	bhs	2020-04-17 17:52:56	2020-04-17 17:52:56
18	Bahrain	bhr	2020-04-17 17:52:56	2020-04-17 17:52:56
19	Bangladesh	bgd	2020-04-17 17:52:56	2020-04-17 17:52:56
20	Barbados	brb	2020-04-17 17:52:56	2020-04-17 17:52:56
21	Belarus	blr	2020-04-17 17:52:56	2020-04-17 17:52:56
22	Belgium	bel	2020-04-17 17:52:56	2020-04-17 17:52:56
23	Belize	blz	2020-04-17 17:52:56	2020-04-17 17:52:56
24	Benin	ben	2020-04-17 17:52:56	2020-04-17 17:52:56
25	Bermuda	bmu	2020-04-17 17:52:56	2020-04-17 17:52:56
26	Bhutan	btn	2020-04-17 17:52:56	2020-04-17 17:52:56
27	Plurinational State of Bolivia	bol	2020-04-17 17:52:56	2020-04-17 17:52:56
28	Sint Eustatius and Saba Bonaire	bes	2020-04-17 17:52:56	2020-04-17 17:52:56
29	Bosnia and Herzegowina	bih	2020-04-17 17:52:56	2020-04-17 17:52:56
30	Botswana	bwa	2020-04-17 17:52:56	2020-04-17 17:52:56
31	Bouvet Island	bvt	2020-04-17 17:52:56	2020-04-17 17:52:56
32	Brazil	bra	2020-04-17 17:52:56	2020-04-17 17:52:56
33	British Indian Ocean Territory	iot	2020-04-17 17:52:56	2020-04-17 17:52:56
34	Brunei Darussalam	brn	2020-04-17 17:52:56	2020-04-17 17:52:56
35	Bulgaria	bgr	2020-04-17 17:52:56	2020-04-17 17:52:56
36	Burkina Faso	bfa	2020-04-17 17:52:56	2020-04-17 17:52:56
37	Burundi	bdi	2020-04-17 17:52:56	2020-04-17 17:52:56
