id	country_name	country_code	created_at	updated_at
1	Andorra	and	2020-04-17 17:52:56	2020-04-17 17:52:56
2	Afghanistan	afg	2020-04-17 17:52:56	2020-04-17 17:52:56
3	Antigua and Barbuda	atg	2020-04-17 17:52:56	2020-04-17 17:52:56
4	Anguilla	aia	2020-04-17 17:52:56	2020-04-17 17:52:56
5	Albania	alb	2020-04-17 17:52:56	2020-04-17 17:52:56
6	Armenia	arm	2020-04-17 17:52:56	2020-04-17 17:52:56
7	Angola	ago	2020-04-17 17:52:56	2020-04-17 17:52:56
8	Antarctica	ata	2020-04-17 17:52:56	2020-04-17 17:52:56
9	Argentina	arg	2020-04-17 17:52:56	2020-04-17 17:52:56
10	American Samoa	asm	2020-04-17 17:52:56	2020-04-17 17:52:56
11	Australia	aus	2020-04-17 17:52:56	2020-04-17 17:52:56
12	Aruba	abw	2020-04-17 17:52:56	2020-04-17 17:52:56
